אבו ג'ווייעד (שבט),אבו ג'ווייעד (שבט)  
גרניט,אבן ספיר            
החרסית,אבן ספיר            
חלמיש,אבן ספיר            
טופז,אבן ספיר            
יהלום,אבן ספיר            
לשם,אבן ספיר            
צור,אבן ספיר            
שוהם,אבן ספיר            
אבן שמואל,אבן שמואל           
אבני איתן,אבני איתן           
אבני חפץ,אבני חפץ            
אודם,אבני חפץ            
איבי הנחל,אבני חפץ            
ברקת,אבני חפץ            
גינת אגוז,אבני חפץ            
גלעד,אבני חפץ            
דרך הרא"ה,אבני חפץ            
האודם,אבני חפץ            
החרמון,אבני חפץ            
הירדן,אבני חפץ            
המור,אבני חפץ            
חושן,אבני חפץ            
יהלום,אבני חפץ            
כרמל,אבני חפץ            
לבונה,אבני חפץ            
לשם,אבני חפץ            
מצפה חפץ,אבני חפץ            
ספיר,אבני חפץ            
שחר,אבני חפץ            
שכ מעלה יעקב,אבני חפץ            
שניר,אבני חפץ            
אבנת,אבנת                
אבשלום,אבשלום              
שכ קרוונים,אבשלום              
אדורה,אדורה               
האורן,אדורה               
האלה,אדורה               
האלון,אדורה               
הברוש,אדורה               
אדירים,אדירים              
אדמית,אדמית               
אדרת,אדרת                
אודים,אודים               
האורן,אודים               
האזדרכת,אודים               
האיריס,אודים               
הברוש,אודים               
הגבעה,אודים               
הדגן,אודים               
הדקל,אודים               
ההדרים,אודים               
החצב,אודים               
החרוב,אודים               
היקינטון,אודים               
הכלנית,אודים               
הנרקיס,אודים               
העירית,אודים               
הפקאן,אודים               
הרימון,אודים               
הרקפת,אודים               
השומר,אודים               
השיטה,אודים               
התלתן,אודים               
התמר,אודים               
סמ המגדל,אודים               
צאלון,אודים               
אודם,אודם                
אוהד,אוהד                
אבו בכר,אום אל-פחם          
אבו ד'ר אלע'פארי,אום אל-פחם          
אבו הורירה,אום אל-פחם          
אבו חניפה,אום אל-פחם          
אבו נופול,אום אל-פחם          
אבו סברי,אום אל-פחם          
אבו עבידה,אום אל-פחם          
אבן אלאתיר,אום אל-פחם          
אבן אלג'אוזי,אום אל-פחם          
אבן אלהיתם,אום אל-פחם          
אבן אלנפיס,אום אל-פחם          
אבן אלקיים,אום אל-פחם          
אבן בטוטה,אום אל-פחם          
אבן זיידון,אום אל-פחם          
אבן ח'לדון,אום אל-פחם          
אבן חזם,אום אל-פחם          
אבן כת'יר,אום אל-פחם          
אבן מאגה,אום אל-פחם          
אבן מסעוד,אום אל-פחם          
אבן סינא,אום אל-פחם          
אבן סירין,אום אל-פחם          
אבן עבאס,אום אל-פחם          
אבן רשד,אום אל-פחם          
אבן תימיה,אום אל-פחם          
אום אל-פחם,אום אל-פחם          
אום אלעבהר,אום אל-פחם          
אומייה,אום אל-פחם          
אחמד אבן חנבל,אום אל-פחם          
איוב,אום אל-פחם          
אל-גזאלי,אום אל-פחם          
אל-זביר,אום אל-פחם          
אל-ח'ליל,אום אל-פחם          
אל-חמה,אום אל-פחם          
אל-מוארדי,אום אל-פחם          
אל-מעתצם,אום אל-פחם          
אל-סיוטי,אום אל-פחם          
אל-ראזי,אום אל-פחם          
אל-ראשדון,אום אל-פחם          
אל-רבאט,אום אל-פחם          
אל-ריאץ',אום אל-פחם          
אל-שאם,אום אל-פחם          
אלאג'באריה,אום אל-פחם          
אלאח'ווה,אום אל-פחם          
אלאמל,אום אל-פחם          
אלאנדלוס,אום אל-פחם          
אלאנואר,אום אל-פחם          
אלאסלאח,אום אל-פחם          
אלאקואס,אום אל-פחם          
אלאקסא,אום אל-פחם          
אלארג'ואן,אום אל-פחם          
אלארז,אום אל-פחם          
